Address,YearBuilt,TotalLivingArea,FirstFloor,SecondFloor,ThirdFloor,Basement,FinishedBasement,LotSize
1907 Goshawk Ln,2019,2452,1217,1235,0,1217,0,8713.0
1907 Waterfall Way,2020,1572,1572,0,0,1572,0,15729.0
1908 Tennyson Ln,2019,1008,1008,0,0,1008,0,8750.0
1908 Waterfall Way,2020,1792,1792,0,0,1792,829,6900.0
1911 Goshawk Ln,2019,2259,2259,0,0,2259,1064,9622.0
1911 Waterfall Way,2020,2872,1472,1400,0,838,684,15058.0
1912 Tennyson Ln,2019,864,864,0,0,864,0,8750.0
1913 Raptor Dr,2019,1904,1904,0,0,1904,0,8670.0
1915 Goshawk Ln,2020,1974,1974,0,0,1974,1279,9365.0
1915 Swainson Dr,2019,1804,1804,0,0,1804,350,10190.0
1915 Waterfall Way,2020,1896,960,936,0,960,0,12513.0
1916 Goshawk Ln,2019,1816,1816,0,0,1816,1310,10777.0
1919 Goshawk Ln,2019,2407,1235,1172,0,1235,544,11165.0
201 Galileo Dr,2020,2372,1254,1118,0,1254,0,14788.0
202 North Star Dr,2020,1815,917,898,0,917,504,8351.0
206 North Star Dr,2020,1572,1572,0,0,1572,0,7077.0
218 Milky Way,2020,1876,978,898,0,978,0,7915.0
228 Little Bear Dr,2019,2121,1051,1070,0,1051,0,8018.0
2415 Allied Dr,2019,1041,1041,0,0,1033,0,3600.0
2418 Dunns Marsh Ter,2019,1508,754,754,0,743,0,6848.0
2423 Allied Dr,2019,1033,1033,0,0,1033,0,3600.0
2500 Waunona Way,2019,2950,1598,1352,0,1592,0,11775.0
2707 Van Hise Ave,2019,2745,1265,1480,0,1273,790,5955.0
28 N Baldwin St,2019,2124,1062,1062,0,1062,702,5022.0
2946 Stevens St,2019,1463,829,634,0,829,0,4254.0
301 E Dean Ave,2019,1748,1748,0,0,1821,825,26750.0
302 Milky Way,2020,2092,1090,1002,0,1082,0,7965.0
304 S Baldwin St,2019,1530,766,764,0,754,534,3369.0
305 Milky Way,2020,1482,1482,0,0,1482,871,6665.0
306 Milky Way,2020,2056,1068,988,0,1068,0,7965.0
309 Venus Way,2019,3345,1769,1576,0,1769,0,9938.0
310 Milky Way,2020,1502,763,739,0,763,0,7965.0
313 Venus Way,2019,2248,2248,0,0,2248,0,9525.0
3132 Lakeland Ave,2019,1949,1027,922,0,778,637,4384.0
314 Milky Way,2020,1651,839,812,0,828,0,8591.0
317 Milky Way,2020,1648,838,810,0,838,0,6058.0
318 Milky Way,2020,1511,773,738,0,773,0,8591.0
320 Venus Way,2019,1976,1021,955,0,1021,0,6900.0
321 Milky Way,2020,1482,1482,0,0,1482,0,5785.0
321 Venus Way,2019,1897,1897,0,0,1897,550,9533.0
322 Milky Way,2020,1519,777,742,0,777,0,7965.0
325 Venus Way,2019,1752,1752,0,0,1742,0,9536.0
327 Galileo Dr,2019,2440,1192,1248,0,1192,586,6900.0
328 Venus Way,2019,2042,1006,1036,0,1006,0,6900.0
331 Galileo Dr,2019,2396,1212,1184,0,1212,0,7558.0
3606 Margaret St,2019,1848,947,901,0,947,947,10973.33
37 N Bryan St,2019,766,428,338,0,428,300,3408.0
3714 Olbrich Ave,2019,2079,1136,943,0,1126,0,7400.0
3806 Eliot Ln,2020,1,1,0,0,1,0,6006.0
3809 Eliot Ln,2019,955,955,0,0,955,555,9650.0
3809 Ridgeway Ave,2019,1526,1526,0,0,1526,516,8645.0
3814 Eliot Ln,2020,960,960,0,0,680,0,6962.0
3818 Eliot Ln,2020,1160,1160,0,0,1160,400,6542.0
3822 Eliot Ln,2020,960,960,0,0,680,0,6521.0
3826 Eliot Ln,2019,1026,1026,0,0,1026,0,6289.0
4017 Euclid Ave,2019,1928,1928,0,0,1928,1273,6000.0
404 Galileo Dr,2019,1983,975,1008,0,975,0,7769.0
405 Engelhart Dr,2020,1456,672,784,0,672,0,7021.0
408 Galileo Dr,2019,1776,1776,0,0,1776,0,7441.0
409 Engelhart Dr,2019,1453,1453,0,0,1453,394,7732.0
409 S Mills St,2019,2385,994,1391,0,980,0,3085.0
409 Venus Way,2019,2045,1006,1039,0,1006,531,9291.0
411 S Mills St,2019,2385,994,1391,0,980,0,3088.0
419 Windy Peak Rd,2019,2400,1208,1192,0,1208,0,9085.0
42 Stacy Ln,2019,2155,2155,0,0,2155,828,11541.0
421 Blue Moon Dr,2019,2000,2000,0,0,2000,934,11850.0
421 Lush Woods Trl,2020,1848,964,884,0,964,0,6313.0
4214 Doncaster Dr,2019,1373,1373,0,0,1373,964,4800.0
4216 Doncaster Dr,2019,1450,730,720,0,720,0,4800.0
422 Venus Way,2019,2052,1006,1046,0,1006,0,6966.0
423 Milky Way,2019,1564,1564,0,0,1564,0,9129.0
423 Windy Peak Rd,2019,1974,1974,0,0,1974,0,10354.0
4234 Sheffield Rd,2019,1419,1419,0,0,0,0,6000.0
424 Milky Way,2019,1984,1006,978,0,1006,0,6500.0
425 Lush Woods Trl,2020,1650,828,822,0,828,0,6313.0
426 Blue Moon Dr,2019,2922,1613,1309,0,1613,0,11641.0
426 Lush Woods Trl,2020,1580,1580,0,0,1572,0,6032.0
426 Orion Trl,2020,1876,978,898,0,978,0,7086.0
426 Windy Peak Rd,2019,2045,1006,1039,0,1006,0,13087.0
427 Milky Way,2020,1627,1627,0,0,161,0,8650.0
427 Windy Peak Rd,2019,2414,1229,1185,0,1229,0,17194.0
428 Milky Way,2020,1572,1572,0,0,1572,0,6500.0
429 Blue Moon Dr,2019,2805,1401,1404,0,1401,0,11850.0
429 Lush Woods Trl,2020,1880,982,898,0,978,0,7685.0
429 Orion Trl,2019,1482,1482,0,0,1482,0,6894.0
430 Lush Woods Trl,2020,1974,1974,0,0,1974,0,8275.0
430 Orion Trl,2019,1746,1746,0,0,1746,0,7716.0
4301 Maher Ave,2019,1995,860,860,275,860,112,5433.0
4307 Bellgrove Ln,2019,4304,2216,2088,0,2216,0,13125.0
431 Milky Way,2019,1896,1896,0,0,1896,0,13000.0
4311 Bellgrove Ln,2020,4858,2453,2405,0,2453,0,15725.0
432 Milky Way,2019,1848,964,884,0,964,407,6857.0
433 Lush Woods Trl,2020,2092,1086,1006,0,1082,0,9400.0
433 Orion Trl,2019,1570,780,790,0,780,0,7255.0
435 Tawny Elm Pkwy,2020,2446,1188,1258,0,1188,0,7560.0
436 Milky Way,2019,1580,1580,0,0,1572,1112,7780.0
436 Tawny Elm Pkwy,2019,2056,1068,988,0,1068,0,7086.0
437 N Sugar Maple Ln,2019,2052,1006,1046,0,1006,0,6500.0
438 N Sugar Maple Ln,2019,1482,1482,0,0,1482,0,6018.0
