NAME,DATE,POS_7DAYAVG,DTH_NEW,DTH_NEW_2WK
Green,2020-06-21,0.71,0.0,0.0
Green Lake,2020-06-21,0.0,0.0,0.0
Iowa,2020-06-21,0.57,0.0,0.0
Iron,2020-06-21,0.0,0.0,0.0
Jackson,2020-06-21,0.43,0.0,0.0
Jefferson,2020-06-21,2.71,0.0,0.0
Juneau,2020-06-21,0.43,0.0,0.0
Kenosha,2020-06-21,8.57,0.0,0.0
Kewaunee,2020-06-21,1.0,0.0,0.0
La Crosse,2020-06-21,19.14,0.0,0.0
Lafayette,2020-06-21,1.86,0.0,0.0
Langlade,2020-06-21,0.29,0.0,0.0
Lincoln,2020-06-21,0.0,0.0,0.0
Manitowoc,2020-06-21,3.29,0.0,0.0
Marathon,2020-06-21,4.14,0.0,0.0
Marinette,2020-06-21,0.43,0.0,0.0
Marquette,2020-06-21,0.0,0.0,0.0
Menominee,2020-06-21,0.0,0.0,0.0
Milwaukee,2020-06-21,108.0,0.0,0.0
Green Lake,2020-06-20,0.0,0.0,0.0
Iowa,2020-06-20,0.29,0.0,0.0
Iron,2020-06-20,0.0,0.0,0.0
Jackson,2020-06-20,0.43,0.0,0.0
Marathon,2020-06-20,4.0,0.0,0.0
Marinette,2020-06-20,0.43,0.0,0.0
Marquette,2020-06-20,0.0,0.0,0.0
Menominee,2020-06-20,0.14,0.0,0.0
Milwaukee,2020-06-20,107.0,9.0,0.0
Monroe,2020-06-20,2.14,0.0,0.0
Oconto,2020-06-20,0.29,0.0,0.0
Oneida,2020-06-20,0.43,0.0,0.0
Outagamie,2020-06-20,8.0,0.0,0.0
Ozaukee,2020-06-20,2.0,0.0,0.0
Pepin,2020-06-20,0.0,0.0,0.0
Pierce,2020-06-20,0.71,0.0,0.0
Polk,2020-06-20,0.57,0.0,0.0
Portage,2020-06-20,2.71,0.0,0.0
Price,2020-06-20,0.0,0.0,0.0
Racine,2020-06-20,13.29,1.0,0.0
Richland,2020-06-20,0.14,0.0,0.0
Rock,2020-06-20,4.43,0.0,0.0
Rusk,2020-06-20,0.29,0.0,0.0
St. Croix,2020-06-20,2.14,0.0,0.0
Sauk,2020-06-20,1.14,0.0,0.0
Sawyer,2020-06-20,0.0,0.0,0.0
Shawano,2020-06-20,0.86,0.0,0.0
Sheboygan,2020-06-20,4.57,0.0,0.0
Taylor,2020-06-20,1.0,0.0,0.0
Trempealeau,2020-06-20,5.0,0.0,0.0
Vernon,2020-06-20,0.71,0.0,0.0
Vilas,2020-06-20,0.29,0.0,0.0
Walworth,2020-06-20,3.71,0.0,0.0
Washburn,2020-06-20,0.14,0.0,0.0
Washington,2020-06-20,3.29,0.0,0.0
Waukesha,2020-06-20,13.86,0.0,0.0
Waupaca,2020-06-20,2.57,0.0,0.0
Waushara,2020-06-20,0.57,0.0,0.0
Winnebago,2020-06-20,12.43,1.0,0.0
Wood,2020-06-20,2.0,0.0,0.0
Adams,2020-06-20,0.43,0.0,0.0
Ashland,2020-06-20,0.0,0.0,0.0
Barron,2020-06-20,1.0,0.0,0.0
Bayfield,2020-06-20,0.0,0.0,0.0
Brown,2020-06-20,16.29,0.0,0.0
Buffalo,2020-06-20,-0.14,0.0,0.0
Burnett,2020-06-20,0.0,0.0,0.0
Calumet,2020-06-20,0.57,0.0,0.0
Chippewa,2020-06-20,0.57,0.0,0.0
Clark,2020-06-20,1.14,0.0,0.0
Columbia,2020-06-20,1.14,0.0,0.0
Crawford,2020-06-20,0.43,0.0,0.0
Dane,2020-06-20,18.57,0.0,0.0
Dodge,2020-06-20,1.57,0.0,0.0
Jefferson,2020-06-20,2.43,0.0,0.0
Juneau,2020-06-20,0.43,0.0,0.0
Kenosha,2020-06-20,9.0,2.0,0.0
Kewaunee,2020-06-20,0.86,0.0,0.0
Sheboygan,2021-01-10,59.71,0.0,0.0
Taylor,2021-01-10,6.57,0.0,0.0
Trempealeau,2021-01-10,15.14,0.0,0.0
Vernon,2021-01-10,10.14,1.0,0.0
Vilas,2021-01-10,15.57,0.0,0.0
Walworth,2021-01-10,53.14,0.0,0.0
Washburn,2021-01-10,7.43,0.0,0.0
Washington,2021-01-10,84.86,0.0,0.0
Brown,2021-01-10,153.14,0.0,0.0
Buffalo,2021-01-10,11.57,0.0,0.0
Burnett,2021-01-10,3.86,0.0,0.0
Calumet,2021-01-10,25.43,0.0,0.0
Chippewa,2021-01-10,41.71,0.0,0.0
Clark,2021-01-10,10.86,0.0,0.0
Columbia,2021-01-10,27.86,0.0,0.0
Crawford,2021-01-10,4.86,0.0,0.0
Dane,2021-01-10,226.29,0.0,2.0
Waukesha,2021-01-10,285.29,0.0,0.0
Monroe,2021-01-10,28.14,0.0,0.0
Oconto,2021-01-10,19.86,0.0,0.0
Oneida,2021-01-10,16.29,0.0,0.0
Outagamie,2021-01-10,108.86,0.0,0.0
Waupaca,2021-01-10,20.71,0.0,0.0
Ozaukee,2021-01-10,45.0,0.0,0.0
Pepin,2021-01-10,5.71,0.0,0.0
Pierce,2021-01-10,21.0,0.0,0.0
Polk,2021-01-10,23.86,0.0,0.0
Portage,2021-01-10,28.43,0.0,0.0
Price,2021-01-10,3.57,0.0,0.0
Racine,2021-01-10,111.71,0.0,0.0
Waushara,2021-01-10,5.14,0.0,0.0
Winnebago,2021-01-10,56.0,0.0,0.0
Wood,2021-01-10,29.57,0.0,0.0
Richland,2021-01-10,8.43,0.0,0.0
Rock,2021-01-10,72.57,0.0,2.0
Rusk,2021-01-10,6.14,0.0,0.0
St. Croix,2021-01-10,30.71,0.0,1.0
Sauk,2021-01-10,28.14,0.0,0.0
Sawyer,2021-01-10,6.0,0.0,0.0
Shawano,2021-01-10,16.14,0.0,0.0
Adams,2021-01-10,9.14,0.0,0.0
Ashland,2021-01-10,5.86,0.0,0.0
Barron,2021-01-10,27.14,0.0,0.0
Bayfield,2021-01-10,4.43,0.0,0.0
Dodge,2021-01-10,33.57,0.0,0.0
Door,2021-01-10,14.71,0.0,0.0
Douglas,2021-01-10,20.71,0.0,0.0
Dunn,2021-01-10,20.14,0.0,0.0
Eau Claire,2021-01-10,59.14,0.0,0.0
Florence,2021-01-10,1.29,0.0,0.0
Fond du Lac,2021-01-10,65.14,0.0,0.0
Forest,2021-01-10,4.0,0.0,0.0
Grant,2021-01-10,17.0,0.0,0.0
Green,2021-01-10,12.86,0.0,0.0
Green Lake,2021-01-10,3.57,0.0,0.0
Iowa,2021-01-10,7.14,0.0,0.0
Iron,2021-01-10,1.57,0.0,0.0
