X,Y,OBJECTID,StopID,Route,Lat,Lon,DailyBoardings,DotSize
-89.286752999196537,43.084263049633293,15633,7263,35,43.084271,-89.286759,0.23,2270.73
-89.261128006481556,43.091727047265778,15634,7269,33,43.091735,-89.261134,0.11,1124.42
-89.322928991832867,43.058484055869009,15635,7272,38,43.058492,-89.322935,0.79,7928.67
-89.308536994187151,43.066745053614483,15636,7277,39,43.066753,-89.308543,0.57,5708.63
-89.30326599515513,43.080859051022863,15637,7282,32,43.080867,-89.303272,0.22,2242.37
-89.327405987241519,43.08748605101318,15638,7296,16,43.087494,-89.327412,0.79,7874.37
-89.327405987241519,43.08748605101318,15639,7296,31,43.087494,-89.327412,0.23,2261.74
-89.327405987241519,43.08748605101318,15640,7296,38,43.087494,-89.327412,0.23,2265.33
-89.297447998796272,43.062518053515539,15641,7302,31,43.062526,-89.297454,0.34,3392.62
-89.316477989929467,43.087952050911369,15642,7306,39,43.08796,-89.316484,0.11,1141.73
-89.288872996954709,43.098733047113697,15643,7310,32,43.098741,-89.288879,0.67,6727.12
-89.288872996954709,43.098733047113697,15644,7310,33,43.098741,-89.288879,1.01,10119.76
-89.302886994342487,43.086266050283037,15645,7313,32,43.086274,-89.302893,1.91,19060.16
-89.302886994342487,43.086266050283037,15646,7313,35,43.086274,-89.302893,6.81,68121.8
-89.276561002751535,43.075406050284165,15647,7320,35,43.075414,-89.276567,1.82,18165.81
-89.291872998847111,43.073515051742966,15648,7324,39,43.073523,-89.291879,0.69,6850.35
-89.281780002033727,43.070712051499271,15649,7325,35,43.07072,-89.281786,0.23,2270.73
-89.261993005685554,43.096885046321589,15650,7326,33,43.096893,-89.261999,2.02,20239.52
-89.314487992719847,43.073939052912706,15651,7328,16,43.073947,-89.314494,10.01,100117.05
-89.314487992719847,43.073939052912706,15652,7328,38,43.073947,-89.314494,4.64,46439.34
-89.293639999657373,43.059417054043486,15653,7331,31,43.059425,-89.293646,0.57,5654.36
-89.293639999657373,43.059417054043486,15654,7331,39,43.059425,-89.293646,10.73,107322.17
-89.282552001221077,43.073452050837687,15655,7333,35,43.07346,-89.282558,1.93,19301.18
-89.314431993108471,43.070053053112751,15656,7348,16,43.070061,-89.314438,3.49,34872.23
-89.311308994343491,43.062137054359518,15657,7351,31,43.062145,-89.311315,0.9,9046.98
-89.292858997819906,43.08718804928867,15658,7365,33,43.087196,-89.292865,0.79,7870.92
-89.302610994466292,43.088423049431249,15659,7369,32,43.088431,-89.302617,0.45,4484.74
-89.302610994466292,43.088423049431249,15660,7369,35,43.088431,-89.302617,2.95,29519.45
-89.316397990881924,43.083619051045488,15661,7374,38,43.083627,-89.316404,0.68,6796
-89.316397990881924,43.083619051045488,15662,7374,39,43.083627,-89.316404,6.51,65078.34
-89.325802988036884,43.085999051119259,15663,7379,16,43.086007,-89.325809,2.92,29247.68
-89.325802988036884,43.085999051119259,15664,7379,31,43.086007,-89.325809,1.47,14701.34
-89.325802988036884,43.085999051119259,15665,7379,37,43.086007,-89.325809,0.11,1124.79
-89.325802988036884,43.085999051119259,15666,7379,38,43.086007,-89.325809,7.02,70225.34
-89.296726995457064,43.098786047910892,15667,7381,32,43.098794,-89.296733,0.56,5605.93
-89.310101994938279,43.061088054680226,15668,7384,37,43.061096,-89.310108,0.22,2249.57
-89.310101994938279,43.061088054680226,15669,7384,38,43.061096,-89.310108,1.36,13592
-89.323588989533292,43.07990905230028,15670,7388,16,43.079917,-89.323595,6.07,60745.18
-89.323588989533292,43.07990905230028,15671,7388,37,43.079917,-89.323595,2.92,29244.41
-89.323588989533292,43.07990905230028,15672,7388,38,43.079917,-89.323595,0.23,2265.33
-89.302804996718365,43.062272054169995,15673,7391,31,43.06228,-89.302811,0.11,1130.87
-89.302804996718365,43.062272054169995,15674,7391,39,43.06228,-89.302811,2.51,25117.95
-89.299691995944315,43.084437050036627,15675,7392,35,43.084445,-89.299698,1.02,10218.27
-89.317918988419905,43.098392049316452,15676,7398,30,43.0984,-89.317925,1.79,17852.84
-89.317918988419905,43.098392049316452,15677,7398,32,43.0984,-89.317925,2.92,29150.83
-89.317918988419905,43.098392049316452,15678,7398,33,43.0984,-89.317925,3.37,33732.53
-89.317918988419905,43.098392049316452,15679,7398,35,43.0984,-89.317925,3.52,35196.26
-89.317918988419905,43.098392049316452,15680,7398,39,43.0984,-89.317925,0.69,6850.35
-89.316092990965288,43.081568052145485,15681,7399,38,43.081576,-89.316099,1.93,19255.33
-89.279514001520525,43.085956048691777,15682,7415,33,43.085964,-89.27952,0.67,6746.51
-89.275766003794672,43.077473050584764,15683,7416,35,43.077481,-89.275772,0.45,4541.45
-89.291374001331704,43.056648054850072,15684,7417,31,43.056656,-89.29138,6.45,64459.71
-89.291374001331704,43.056648054850072,15685,7417,39,43.056656,-89.29138,7.65,76495.59
-89.293826997210559,43.084512050354626,15686,7418,32,43.08452,-89.293833,0.45,4484.74
-89.293826997210559,43.084512050354626,15687,7418,33,43.08452,-89.293833,0.45,4497.67
-89.293826997210559,43.084512050354626,15688,7418,35,43.08452,-89.293833,0.57,5676.82
-89.316147990804907,43.085830051391902,15689,7419,38,43.085838,-89.316154,0.91,9061.33
-89.267225004671019,43.087849048246618,15690,7428,33,43.087857,-89.267231,1.8,17990.69
-89.273369003167247,43.089718047931832,15691,7440,33,43.089726,-89.273375,0.34,3373.25
-89.316770990422867,43.090396049872595,15692,7446,38,43.090404,-89.316777,8.16,81552
-89.290910997231919,43.092011048460527,15693,7447,33,43.092019,-89.290917,2.59,25861.61
-89.293873999525829,43.059247054532086,15694,7458,31,43.059255,-89.29388,0.11,1130.87
-89.316780990053431,43.083977051786931,15695,7460,38,43.083985,-89.316787,2.83,28316.67
